Genomic Distance,Column1,Li 2017,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,avee
"11,448",11447900,1.62277,0.662589,1.0369,1.06349,0.822087,1.2197,0.936374,1.05021,1.10421,1.19047,0.929218,0.91303,1.04909,0.695352,0.975298,0.713359,1.10012,0.813397,0.952125,0.670887,0.9760338
"11,566",11566000,1.63471,0.668657,1.04405,1.07175,0.822354,1.21342,0.944346,1.06017,1.10824,1.20608,0.930528,0.893651,1.05695,0.704198,0.968672,0.72011,1.09281,0.807715,0.959177,0.676813,0.97922005
"11,684",11684000,1.64684,0.683629,1.05179,1.08016,0.823112,1.20471,0.944291,1.06706,1.1137,1.22013,0.927855,0.878077,1.06198,0.70917,0.96372,0.72028,1.08662,0.802094,0.966829,0.682355,0.9817201
"11,802",11802000,1.65605,0.694616,1.0582,1.08972,0.824773,1.19281,0.946732,1.07523,1.11696,1.23703,0.927311,0.859525,1.07134,0.712962,0.954012,0.718142,1.08153,0.793572,0.974412,0.682156,0.98335415
"11,920",11920000,1.66601,0.701241,1.06462,1.09756,0.827026,1.17934,0.950033,1.08363,1.11572,1.25831,0.927268,0.844625,1.07969,0.714643,0.947893,0.720864,1.07739,0.792096,0.982955,0.685626,0.985827
"12,038",12038000,1.67451,0.700777,1.07235,1.10411,0.829445,1.16364,0.957288,1.09417,1.11661,1.27846,0.926826,0.825175,1.08887,0.719653,0.943752,0.722603,1.0727,0.791857,0.989708,0.689792,0.9881148
"12,156",12156100,1.68032,0.698079,1.07328,1.11063,0.826982,1.14998,0.965061,1.10122,1.11511,1.29921,0.926795,0.807956,1.09811,0.724152,0.941312,0.72358,1.06673,0.793764,1.00103,0.694181,0.9898741
"12,274",12274100,1.68233,0.696859,1.0747,1.11445,0.825083,1.13536,0.972202,1.10402,1.11171,1.32123,0.923056,0.787373,1.10636,0.725411,0.93693,0.722794,1.0601,0.794305,1.01081,0.699103,0.9902093
"12,392",12392100,1.68274,0.702776,1.0764,1.11676,0.825216,1.12286,0.976621,1.10856,1.11027,1.3383,0.920948,0.768481,1.11028,0.728605,0.931778,0.727488,1.05525,0.79596,1.02169,0.711057,0.991602
"12,510",12510100,1.68168,0.707142,1.08245,1.1199,0.820502,1.11158,0.983798,1.11411,1.11373,1.35699,0.920097,0.751652,1.11508,0.732461,0.930025,0.731545,1.05154,0.801802,1.03612,0.722395,0.99422995
"12,628",12628100,1.67608,0.70893,1.08883,1.12179,0.819167,1.10247,0.988096,1.11788,1.11717,1.37546,0.917588,0.732066,1.11898,0.738612,0.92745,0.736453,1.04942,0.810463,1.05215,0.731046,0.99650505
"12,746",12746200,1.67181,0.711243,1.0966,1.12436,0.814254,1.09722,0.991703,1.12572,1.11776,1.39431,0.920346,0.717796,1.12263,0.745651,0.923889,0.741433,1.0464,0.8179,1.0694,0.741326,0.99958755
"12,864",12864200,1.66838,0.710689,1.10613,1.13015,0.812738,1.09438,0.995091,1.13378,1.11843,1.41222,0.919339,0.705417,1.12413,0.7453,0.920886,0.742793,1.04752,0.823614,1.08917,0.749456,1.00248065
"12,982",12982200,1.66232,0.70636,1.11278,1.13324,0.805697,1.09271,1.00262,1.13848,1.11758,1.42899,0.918954,0.694176,1.12357,0.745855,0.91715,0.747368,1.04384,0.830229,1.10835,0.759857,1.0045063
"13,100",13100200,1.65697,0.701409,1.11782,1.13876,0.802267,1.08835,1.0092,1.14421,1.12024,1.44925,0.915504,0.684765,1.12467,0.753664,0.915848,0.753142,1.04225,0.837877,1.12957,0.766461,1.00761135
"13,218",13218200,1.6528,0.696542,1.12261,1.14252,0.79906,1.08304,1.01116,1.14888,1.12277,1.46989,0.909335,0.6771,1.12588,0.766093,0.915238,0.750615,1.03853,0.84573,1.14827,0.774495,1.0100279
"13,336",13336300,1.65383,0.696581,1.12591,1.15174,0.800923,1.07838,1.01244,1.15234,1.12813,1.49349,0.906155,0.667927,1.12965,0.781739,0.91366,0.745514,1.0343,0.852572,1.1703,0.77793,1.01367555
"13,454",13454300,1.6498,0.702919,1.12458,1.15759,0.808172,1.07073,1.01239,1.15712,1.13457,1.51285,0.905546,0.660562,1.13271,0.7937,0.913939,0.741512,1.03247,0.859504,1.19102,0.776755,1.01692195
